,PID,ID,NAME,Prob
0,NR1C1,PLM,PLM,0.34381237524950103
1,NR1C2,PLM,PLM,0.19777112441783107
2,NR1C3,PLM,PLM,0.28093812375249505
3,NR1H2,PLM,PLM,0.3338323353293413
4,NR2B1,PLM,PLM,0.3923819028609449
5,NR1H3,PLM,PLM,0.3073852295409182
6,NR1H4,PLM,PLM,0.27445109780439125
7,NR2B3,PLM,PLM,0.508150365934797
8,NR2B2,PLM,PLM,0.4143379906852962
9,NR1D1,PLM,PLM,0.435129740518962
10,NR1I2,PLM,PLM,0.47105788423153694
11,NR1C1,HXA,HXA,0.6506986027944112
12,NR1C2,HXA,HXA,0.3847305389221557
13,NR1C3,HXA,HXA,0.46706586826347307
14,NR1H2,HXA,HXA,0.4703925482368596
15,NR2B1,HXA,HXA,0.844311377245509
16,NR1H3,HXA,HXA,0.4031936127744511
17,NR1H4,HXA,HXA,0.39321357285429137
18,NR2B3,HXA,HXA,0.8942115768463074
19,NR2B2,HXA,HXA,0.8642714570858283
20,NR1D1,HXA,HXA,0.8562874251497006
21,NR1I2,HXA,HXA,0.8602794411177644
22,NR1C1,9CR,9CR,0.4095143047238856
23,NR1C2,9CR,9CR,0.2684630738522954
24,NR1C3,9CR,9CR,0.32435129740518964
25,NR1H2,9CR,9CR,0.37125748502994016
26,NR2B1,9CR,9CR,0.4730538922155688
27,NR1H3,9CR,9CR,0.3073852295409182
28,NR1H4,9CR,9CR,0.3127079174983367
29,NR2B3,9CR,9CR,0.9740518962075848
30,NR2B2,9CR,9CR,0.04990019960079839
31,NR1D1,9CR,9CR,0.6367265469061876
32,NR1I2,9CR,9CR,0.7584830339321358
33,NR1C1,REA,REA,0.4095143047238856
34,NR1C2,REA,REA,0.2684630738522954
35,NR1C3,REA,REA,0.32435129740518964
36,NR1H2,REA,REA,0.37125748502994016
37,NR2B1,REA,REA,0.4730538922155688
38,NR1H3,REA,REA,0.3073852295409182
39,NR1H4,REA,REA,0.3127079174983367
40,NR2B3,REA,REA,0.9740518962075848
41,NR2B2,REA,REA,0.04990019960079839
42,NR1D1,REA,REA,0.6367265469061876
43,NR1I2,REA,REA,0.7584830339321358
44,NR1C1,J57,J57,0.24604125083166994
45,NR1C2,J57,J57,0.23453093812375247
46,NR1C3,J57,J57,0.24261001805911986
47,NR1H2,J57,J57,0.2584830339321357
48,NR2B1,J57,J57,0.15269461077844315
49,NR1H3,J57,J57,0.26047904191616766
50,NR1H4,J57,J57,0.25415834996673314
51,NR2B3,J57,J57,0.1956087824351297
52,NR2B2,J57,J57,0.2851630073186958
53,NR1D1,J57,J57,0.23493013972055887
54,NR1I2,J57,J57,0.328942115768463
55,NR1C1,7O0,7O0,0.5107927003136583
56,NR1C2,7O0,7O0,0.4386940404904477
57,NR1C3,7O0,7O0,0.4604457751164338
58,NR1H2,7O0,7O0,0.4771124417831004
59,NR2B1,7O0,7O0,0.35559832715521345
60,NR1H3,7O0,7O0,0.3786094477711244
61,NR1H4,7O0,7O0,0.37491683300066525
62,NR2B3,7O0,7O0,0.40150651078794797
63,NR2B2,7O0,7O0,0.44447771124417834
64,NR1D1,7O0,7O0,0.5854719133162247
65,NR1I2,7O0,7O0,0.5583594715331242
66,NR1C1,4XW,4XW,0.4906852960745176
67,NR1C2,4XW,4XW,0.33549567531603464
68,NR1C3,4XW,4XW,0.42927478376580175
69,NR1H2,4XW,4XW,0.43433133732534934
70,NR2B1,4XW,4XW,0.7105788423153693
71,NR1H3,4XW,4XW,0.3597804391217565
72,NR1H4,4XW,4XW,0.330172987358616
73,NR2B3,4XW,4XW,0.8902195608782435
74,NR2B2,4XW,4XW,0.5748502994011976
75,NR1D1,4XW,4XW,0.7721224218230207
76,NR1I2,4XW,4XW,0.8163672654690619
77,NR1C1,754,754,0.626746506986028
78,NR1C2,754,754,0.6107784431137724
79,NR1C3,754,754,0.6656686626746506
80,NR1H2,754,754,0.5439121756487026
81,NR2B1,754,754,0.9640718562874252
82,NR1H3,754,754,0.5489021956087825
83,NR1H4,754,754,0.5289421157684631
84,NR2B3,754,754,0.9620758483033932
85,NR2B2,754,754,0.9560878243512974
86,NR1D1,754,754,0.9141716566866267
87,NR1I2,754,754,0.936127744510978
