	NR	NRName	CID	EC50
3017	NR1C1	PPAR_alpha	10868	0
3019	NR1C1	PPAR_alpha	10870	0
3021	NR1C1	PPAR_alpha	10872	0
3027	NR1C1	PPAR_alpha	10878	0
3026	NR1C1	PPAR_alpha	10877	0
3028	NR1C1	PPAR_alpha	10879	0
3662	NR1H4	FXR	5857	0
3670	NR1H4	FXR	5865	0
4	NR1I2	PXR	4874	0
1244	NR1C1	PPAR_alpha	3920	0
1442	NR1C1	PPAR_alpha	4997	0
1444	NR1C1	PPAR_alpha	4999	0
1445	NR1C1	PPAR_alpha	5000	0
1447	NR1C1	PPAR_alpha	5002	0
1454	NR1C1	PPAR_alpha	5009	0
1455	NR1C1	PPAR_alpha	5010	0
1456	NR1C1	PPAR_alpha	5011	0
1457	NR1C1	PPAR_alpha	5012	0
1458	NR1C1	PPAR_alpha	5013	0
2622	NR1C1	PPAR_alpha	9214	0
2624	NR1C1	PPAR_alpha	9216	0
2672	NR1C1	PPAR_alpha	9264	0
2759	NR1C1	PPAR_alpha	9351	0
2892	NR1C1	PPAR_alpha	9484	0
2894	NR1C1	PPAR_alpha	9486	0
2895	NR1C1	PPAR_alpha	9487	0
2897	NR1C1	PPAR_alpha	9489	0
2899	NR1C1	PPAR_alpha	9491	0
2900	NR1C1	PPAR_alpha	9492	0
5015	NR1C2	PPAR_delta	2682	0
6990	NR1C3	PPAR_gamma	4787	0
6991	NR1C3	PPAR_gamma	4788	0
6992	NR1C3	PPAR_gamma	4789	0
6993	NR1C3	PPAR_gamma	4790	0
6995	NR1C3	PPAR_gamma	4792	0
6996	NR1C3	PPAR_gamma	4793	0
8109	NR1C3	PPAR_gamma	8474	0
8114	NR1C3	PPAR_gamma	8479	0
8115	NR1C3	PPAR_gamma	8480	0
8116	NR1C3	PPAR_gamma	8481	0
8123	NR1C3	PPAR_gamma	8488	0
5790	NR1C3	PPAR_gamma	1964	2.8184E-10
5751	NR1C3	PPAR_gamma	1925	3.02E-10
5764	NR1C3	PPAR_gamma	1938	5.7544E-10
5750	NR1C3	PPAR_gamma	1924	7.0795E-10
5752	NR1C3	PPAR_gamma	1926	9.1201E-10
5754	NR1C3	PPAR_gamma	1928	9.1201E-10
5762	NR1C3	PPAR_gamma	1936	1.4125E-09
5753	NR1C3	PPAR_gamma	1927	1.4791E-09
5791	NR1C3	PPAR_gamma	1965	2.884E-09
5756	NR1C3	PPAR_gamma	1930	7.7625E-09
5775	NR1C3	PPAR_gamma	1949	8.3176E-09
5779	NR1C3	PPAR_gamma	1953	8.5114E-09
5787	NR1C3	PPAR_gamma	1961	8.9125E-09
5781	NR1C3	PPAR_gamma	1955	9.3325E-09
5772	NR1C3	PPAR_gamma	1946	1.1749E-08
5777	NR1C3	PPAR_gamma	1951	1.2023E-08
5788	NR1C3	PPAR_gamma	1962	1.5136E-08
5782	NR1C3	PPAR_gamma	1956	1.6596E-08
5760	NR1C3	PPAR_gamma	1934	1.7378E-08
5770	NR1C3	PPAR_gamma	1944	1.8197E-08
5758	NR1C3	PPAR_gamma	1932	2.3988E-08
5780	NR1C3	PPAR_gamma	1954	2.4547E-08
