zinc,smile
ZINC85532298,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC[NH+]3C(C(O)C4C=CCC(C)C4)CCCC3C2C1CO
ZINC86050507,COc1cc(O)c2c(O)c3c(c(-c4c5cc(OC)cc(O)c5c(O)c5c4CC(C)(O)CC5=O)c2c1)CC(C)(O)CC3=O
ZINC14454977,C=C(CCC=C(C)C(=O)OCC(C)(C)CC1=C(O)C(=O)c2ccccc2C1=O)C(C)O
ZINC85548501,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)C=CC3C(O)(COC4CCCC(O)C4)C(C(=O)[O-])=C4CC5CCC(C)C43C52C1
ZINC59588768,C=C(C)C(C=C(C)C)Cc1c(O)cc(OC)c(C(=O)C=Cc2ccc(O)cc2O)c1O
ZINC85532299,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3C=CC4(CCCC(C(O)C5C=CCC(C)C5)N4C3)C2C1CO
ZINC85548503,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC([NH2+]C)C4)CC32C(C)CC1
ZINC14454981,CC(=CCCC(C)(O)C(C)O)C(=O)OCC(C)(C)CC1=C(O)C(=O)c2ccccc2C1=O
ZINC85570565,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCC4(CCCC4)C3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC21C
ZINC85594173,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C(OC(=O)C1(CCCCO)OC1C)C3
ZINC05424462,CCC(C)C(=O)C1=C(O)C(CC=C(C)C)C(=O)C(O)(CC=C(C)C)C1=O
ZINC85570567,CC12CCC3C(=CC(=O)C4CC(O)C(O)CC34C)C1(O)C1CC2C2CC3CCCC4=C3C(C(=C3CCCCC43)C(C)(C)CC([n+]3cc[nH]c3)CSSC1)C2O
ZINC85548509,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)C=CC3C(O)(COC4CCCC5C=CC=CC54)C(C(=O)[O-])=C4CC5CCC(C)C43C52C1
ZINC85570568,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCC3(CCCC3)C2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)CC6(C)C5CCC24C)C(O)C31
ZINC85594176,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C(OC(=O)C1(C)OC1CCC(C)C)C3
ZINC85624793,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)C1C=CC(OC)C3C1C=C1C(c4cccc(O)c4)CC(C)CC1C23)CO
ZINC85532302,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CCC4CCC(C2C1CO)[NH+]3C4C(O)C1C=CCC(C)C1
ZINC85548513,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)CCC3C(O)(COC4CCCC5C=CC=CC54)C(C(=O)[O-])=C4CC5CCC(C)C43C52C1
ZINC85570570,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCC4(CCCC4)C3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C4CCCCC4)C3CCC21C
ZINC85548517,CNC1=NCC#CC2CC(C)C34CC(O)(COC5CCCC([NH2+]C)C5)C(C(=O)[O-])=C3CC2C42C[N+]1=CCC2C[NH2+]CCO
ZINC85570572,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3C(C[NH+]=C(N)N)CC21C
ZINC85594180,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC3(CSSCC(CCC(C)CCCC3O)[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85594181,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3C(CC(C(C)C)CC34CCCC4)[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
